#ndep: 2897
#depth (km)    Vp_arithmetic (km/s)    Vp_geometric (km/s)
   650.0           1.0263E+01              1.0263E+01
   651.0           1.0733E+01              1.0733E+01
   652.0           1.0737E+01              1.0737E+01
   653.0           1.0741E+01              1.0741E+01
   654.0           1.0745E+01              1.0745E+01
   655.0           1.0749E+01              1.0749E+01
   656.0           1.0753E+01              1.0753E+01
   657.0           1.0757E+01              1.0756E+01
   658.0           1.0760E+01              1.0760E+01
   659.0           1.0764E+01              1.0764E+01
   660.0           1.0768E+01              1.0768E+01
   661.0           1.0772E+01              1.0772E+01
   662.0           1.0775E+01              1.0775E+01
   663.0           1.0779E+01              1.0779E+01
   664.0           1.0783E+01              1.0782E+01
   665.0           1.0786E+01              1.0786E+01
   666.0           1.0790E+01              1.0790E+01
   667.0           1.0793E+01              1.0793E+01
   668.0           1.0797E+01              1.0797E+01
   669.0           1.0800E+01              1.0800E+01
   670.0           1.0804E+01              1.0804E+01
   671.0           1.0807E+01              1.0807E+01
   672.0           1.0811E+01              1.0811E+01
   673.0           1.0814E+01              1.0814E+01
   674.0           1.0817E+01              1.0817E+01
   675.0           1.0821E+01              1.0821E+01
   676.0           1.0824E+01              1.0824E+01
   677.0           1.0827E+01              1.0827E+01
   678.0           1.0830E+01              1.0830E+01
   679.0           1.0834E+01              1.0834E+01
   680.0           1.0837E+01              1.0837E+01
   681.0           1.0840E+01              1.0840E+01
   682.0           1.0843E+01              1.0843E+01
   683.0           1.0846E+01              1.0846E+01
   684.0           1.0850E+01              1.0849E+01
   685.0           1.0853E+01              1.0853E+01
   686.0           1.0856E+01              1.0856E+01
   687.0           1.0859E+01              1.0859E+01
   688.0           1.0862E+01              1.0862E+01
   689.0           1.0865E+01              1.0865E+01
   690.0           1.0868E+01              1.0868E+01
   691.0           1.0871E+01              1.0871E+01
   692.0           1.0874E+01              1.0874E+01
   693.0           1.0877E+01              1.0877E+01
   694.0           1.0879E+01              1.0879E+01
   695.0           1.0882E+01              1.0882E+01
   696.0           1.0885E+01              1.0885E+01
   697.0           1.0888E+01              1.0888E+01
   698.0           1.0891E+01              1.0891E+01
   699.0           1.0894E+01              1.0894E+01
   700.0           1.0896E+01              1.0896E+01
   701.0           1.0899E+01              1.0899E+01
   702.0           1.0902E+01              1.0902E+01
   703.0           1.0905E+01              1.0905E+01
   704.0           1.0907E+01              1.0907E+01
   705.0           1.0910E+01              1.0910E+01
   706.0           1.0913E+01              1.0913E+01
   707.0           1.0915E+01              1.0915E+01
   708.0           1.0918E+01              1.0918E+01
   709.0           1.0921E+01              1.0921E+01
   710.0           1.0923E+01              1.0923E+01
   711.0           1.0926E+01              1.0926E+01
   712.0           1.0928E+01              1.0928E+01
   713.0           1.0931E+01              1.0931E+01
   714.0           1.0934E+01              1.0934E+01
   715.0           1.0936E+01              1.0936E+01
   716.0           1.0939E+01              1.0939E+01
   717.0           1.0941E+01              1.0941E+01
   718.0           1.0944E+01              1.0944E+01
   719.0           1.0946E+01              1.0946E+01
   720.0           1.0949E+01              1.0948E+01
   721.0           1.0951E+01              1.0951E+01
   722.0           1.0953E+01              1.0953E+01
   723.0           1.0956E+01              1.0956E+01
   724.0           1.0958E+01              1.0958E+01
   725.0           1.0961E+01              1.0961E+01
   726.0           1.0963E+01              1.0963E+01
   727.0           1.0965E+01              1.0965E+01
   728.0           1.0968E+01              1.0968E+01
   729.0           1.0970E+01              1.0970E+01
   730.0           1.0972E+01              1.0972E+01
   731.0           1.0975E+01              1.0975E+01
   732.0           1.0977E+01              1.0977E+01
   733.0           1.0979E+01              1.0979E+01
   734.0           1.0981E+01              1.0981E+01
   735.0           1.0984E+01              1.0984E+01
   736.0           1.0986E+01              1.0986E+01
   737.0           1.0988E+01              1.0988E+01
   738.0           1.0991E+01              1.0990E+01
   739.0           1.0993E+01              1.0993E+01
   740.0           1.0995E+01              1.0995E+01
   741.0           1.0997E+01              1.0997E+01
   742.0           1.0999E+01              1.0999E+01
   743.0           1.1002E+01              1.1002E+01
   744.0           1.1004E+01              1.1004E+01
   745.0           1.1006E+01              1.1006E+01
   746.0           1.1008E+01              1.1008E+01
   747.0           1.1010E+01              1.1010E+01
   748.0           1.1012E+01              1.1012E+01
   749.0           1.1014E+01              1.1014E+01
   750.0           1.1017E+01              1.1017E+01
   751.0           1.1019E+01              1.1019E+01
   752.0           1.1021E+01              1.1021E+01
   753.0           1.1023E+01              1.1023E+01
   754.0           1.1025E+01              1.1025E+01
   755.0           1.1027E+01              1.1027E+01
   756.0           1.1029E+01              1.1029E+01
   757.0           1.1031E+01              1.1031E+01
   758.0           1.1033E+01              1.1033E+01
   759.0           1.1036E+01              1.1036E+01
   760.0           1.1038E+01              1.1038E+01
   761.0           1.1040E+01              1.1040E+01
   762.0           1.1042E+01              1.1042E+01
   763.0           1.1044E+01              1.1044E+01
   764.0           1.1046E+01              1.1046E+01
   765.0           1.1048E+01              1.1048E+01
   766.0           1.1050E+01              1.1050E+01
   767.0           1.1052E+01              1.1052E+01
   768.0           1.1054E+01              1.1054E+01
   769.0           1.1056E+01              1.1056E+01
   770.0           1.1058E+01              1.1058E+01
   771.0           1.1060E+01              1.1060E+01
   772.0           1.1062E+01              1.1062E+01
   773.0           1.1064E+01              1.1064E+01
   774.0           1.1066E+01              1.1066E+01
   775.0           1.1068E+01              1.1068E+01
   776.0           1.1070E+01              1.1070E+01
   777.0           1.1072E+01              1.1072E+01
   778.0           1.1074E+01              1.1074E+01
   779.0           1.1076E+01              1.1076E+01
   780.0           1.1078E+01              1.1078E+01
   781.0           1.1080E+01              1.1080E+01
   782.0           1.1082E+01              1.1082E+01
   783.0           1.1084E+01              1.1084E+01
   784.0           1.1086E+01              1.1086E+01
   785.0           1.1088E+01              1.1088E+01
   786.0           1.1090E+01              1.1089E+01
   787.0           1.1091E+01              1.1091E+01
   788.0           1.1093E+01              1.1093E+01
   789.0           1.1095E+01              1.1095E+01
   790.0           1.1097E+01              1.1097E+01
   791.0           1.1099E+01              1.1099E+01
   792.0           1.1101E+01              1.1101E+01
   793.0           1.1103E+01              1.1103E+01
   794.0           1.1105E+01              1.1105E+01
   795.0           1.1107E+01              1.1107E+01
   796.0           1.1109E+01              1.1109E+01
   797.0           1.1110E+01              1.1110E+01
   798.0           1.1112E+01              1.1112E+01
   799.0           1.1114E+01              1.1114E+01
   800.0           1.1116E+01              1.1116E+01
   801.0           1.1118E+01              1.1118E+01
   802.0           1.1120E+01              1.1120E+01
   803.0           1.1122E+01              1.1122E+01
   804.0           1.1124E+01              1.1124E+01
   805.0           1.1125E+01              1.1125E+01
   806.0           1.1127E+01              1.1127E+01
   807.0           1.1129E+01              1.1129E+01
   808.0           1.1131E+01              1.1131E+01
   809.0           1.1133E+01              1.1133E+01
   810.0           1.1135E+01              1.1135E+01
   811.0           1.1136E+01              1.1136E+01
   812.0           1.1138E+01              1.1138E+01
   813.0           1.1140E+01              1.1140E+01
   814.0           1.1142E+01              1.1142E+01
   815.0           1.1144E+01              1.1144E+01
   816.0           1.1146E+01              1.1146E+01
   817.0           1.1147E+01              1.1147E+01
   818.0           1.1149E+01              1.1149E+01
   819.0           1.1151E+01              1.1151E+01
   820.0           1.1153E+01              1.1153E+01
   821.0           1.1155E+01              1.1155E+01
   822.0           1.1156E+01              1.1156E+01
   823.0           1.1158E+01              1.1158E+01
   824.0           1.1160E+01              1.1160E+01
   825.0           1.1162E+01              1.1162E+01
   826.0           1.1164E+01              1.1164E+01
   827.0           1.1165E+01              1.1165E+01
   828.0           1.1167E+01              1.1167E+01
   829.0           1.1169E+01              1.1169E+01
   830.0           1.1171E+01              1.1171E+01
   831.0           1.1172E+01              1.1172E+01
   832.0           1.1174E+01              1.1174E+01
   833.0           1.1176E+01              1.1176E+01
   834.0           1.1178E+01              1.1178E+01
   835.0           1.1180E+01              1.1179E+01
   836.0           1.1181E+01              1.1181E+01
   837.0           1.1183E+01              1.1183E+01
   838.0           1.1185E+01              1.1185E+01
   839.0           1.1187E+01              1.1187E+01
   840.0           1.1188E+01              1.1188E+01
   841.0           1.1190E+01              1.1190E+01
   842.0           1.1192E+01              1.1192E+01
   843.0           1.1194E+01              1.1194E+01
   844.0           1.1195E+01              1.1195E+01
   845.0           1.1197E+01              1.1197E+01
   846.0           1.1199E+01              1.1199E+01
   847.0           1.1201E+01              1.1201E+01
   848.0           1.1202E+01              1.1202E+01
   849.0           1.1204E+01              1.1204E+01
   850.0           1.1206E+01              1.1206E+01
   851.0           1.1208E+01              1.1208E+01
   852.0           1.1209E+01              1.1209E+01
   853.0           1.1211E+01              1.1211E+01
   854.0           1.1213E+01              1.1213E+01
   855.0           1.1214E+01              1.1214E+01
   856.0           1.1216E+01              1.1216E+01
   857.0           1.1218E+01              1.1218E+01
   858.0           1.1220E+01              1.1220E+01
   859.0           1.1221E+01              1.1221E+01
   860.0           1.1223E+01              1.1223E+01
   861.0           1.1225E+01              1.1225E+01
   862.0           1.1227E+01              1.1227E+01
   863.0           1.1228E+01              1.1228E+01
   864.0           1.1230E+01              1.1230E+01
   865.0           1.1232E+01              1.1232E+01
   866.0           1.1233E+01              1.1233E+01
   867.0           1.1235E+01              1.1235E+01
   868.0           1.1237E+01              1.1237E+01
   869.0           1.1239E+01              1.1239E+01
   870.0           1.1240E+01              1.1240E+01
   871.0           1.1242E+01              1.1242E+01
   872.0           1.1244E+01              1.1244E+01
   873.0           1.1245E+01              1.1245E+01
   874.0           1.1247E+01              1.1247E+01
   875.0           1.1249E+01              1.1249E+01
   876.0           1.1251E+01              1.1251E+01
   877.0           1.1252E+01              1.1252E+01
   878.0           1.1254E+01              1.1254E+01
   879.0           1.1256E+01              1.1256E+01
   880.0           1.1257E+01              1.1257E+01
   881.0           1.1259E+01              1.1259E+01
   882.0           1.1261E+01              1.1261E+01
   883.0           1.1262E+01              1.1262E+01
   884.0           1.1264E+01              1.1264E+01
   885.0           1.1266E+01              1.1266E+01
   886.0           1.1268E+01              1.1268E+01
   887.0           1.1269E+01              1.1269E+01
   888.0           1.1271E+01              1.1271E+01
   889.0           1.1273E+01              1.1273E+01
   890.0           1.1274E+01              1.1274E+01
   891.0           1.1276E+01              1.1276E+01
   892.0           1.1278E+01              1.1278E+01
   893.0           1.1279E+01              1.1279E+01
   894.0           1.1281E+01              1.1281E+01
   895.0           1.1283E+01              1.1283E+01
   896.0           1.1284E+01              1.1284E+01
   897.0           1.1286E+01              1.1286E+01
   898.0           1.1288E+01              1.1288E+01
   899.0           1.1289E+01              1.1289E+01
   900.0           1.1291E+01              1.1291E+01
   901.0           1.1293E+01              1.1293E+01
   902.0           1.1294E+01              1.1294E+01
   903.0           1.1296E+01              1.1296E+01
   904.0           1.1298E+01              1.1298E+01
   905.0           1.1300E+01              1.1299E+01
   906.0           1.1301E+01              1.1301E+01
   907.0           1.1303E+01              1.1303E+01
   908.0           1.1305E+01              1.1305E+01
   909.0           1.1306E+01              1.1306E+01
   910.0           1.1308E+01              1.1308E+01
   911.0           1.1310E+01              1.1310E+01
   912.0           1.1311E+01              1.1311E+01
   913.0           1.1313E+01              1.1313E+01
   914.0           1.1315E+01              1.1315E+01
   915.0           1.1316E+01              1.1316E+01
   916.0           1.1318E+01              1.1318E+01
   917.0           1.1320E+01              1.1320E+01
   918.0           1.1321E+01              1.1321E+01
   919.0           1.1323E+01              1.1323E+01
   920.0           1.1325E+01              1.1325E+01
   921.0           1.1326E+01              1.1326E+01
   922.0           1.1328E+01              1.1328E+01
   923.0           1.1329E+01              1.1329E+01
   924.0           1.1331E+01              1.1331E+01
   925.0           1.1333E+01              1.1333E+01
   926.0           1.1334E+01              1.1334E+01
   927.0           1.1336E+01              1.1336E+01
   928.0           1.1338E+01              1.1338E+01
   929.0           1.1339E+01              1.1339E+01
   930.0           1.1341E+01              1.1341E+01
   931.0           1.1343E+01              1.1343E+01
   932.0           1.1344E+01              1.1344E+01
   933.0           1.1346E+01              1.1346E+01
   934.0           1.1348E+01              1.1348E+01
   935.0           1.1349E+01              1.1349E+01
   936.0           1.1351E+01              1.1351E+01
   937.0           1.1353E+01              1.1353E+01
   938.0           1.1354E+01              1.1354E+01
   939.0           1.1356E+01              1.1356E+01
   940.0           1.1358E+01              1.1358E+01
   941.0           1.1359E+01              1.1359E+01
   942.0           1.1361E+01              1.1361E+01
   943.0           1.1362E+01              1.1362E+01
   944.0           1.1364E+01              1.1364E+01
   945.0           1.1366E+01              1.1366E+01
   946.0           1.1367E+01              1.1367E+01
   947.0           1.1369E+01              1.1369E+01
   948.0           1.1371E+01              1.1371E+01
   949.0           1.1372E+01              1.1372E+01
   950.0           1.1374E+01              1.1374E+01
   951.0           1.1376E+01              1.1376E+01
   952.0           1.1377E+01              1.1377E+01
   953.0           1.1379E+01              1.1379E+01
   954.0           1.1380E+01              1.1380E+01
   955.0           1.1382E+01              1.1382E+01
   956.0           1.1384E+01              1.1384E+01
   957.0           1.1385E+01              1.1385E+01
   958.0           1.1387E+01              1.1387E+01
   959.0           1.1389E+01              1.1389E+01
   960.0           1.1390E+01              1.1390E+01
   961.0           1.1392E+01              1.1392E+01
   962.0           1.1394E+01              1.1394E+01
   963.0           1.1395E+01              1.1395E+01
   964.0           1.1397E+01              1.1397E+01
   965.0           1.1398E+01              1.1398E+01
   966.0           1.1400E+01              1.1400E+01
   967.0           1.1402E+01              1.1402E+01
   968.0           1.1403E+01              1.1403E+01
   969.0           1.1405E+01              1.1405E+01
   970.0           1.1407E+01              1.1407E+01
   971.0           1.1408E+01              1.1408E+01
   972.0           1.1410E+01              1.1410E+01
   973.0           1.1411E+01              1.1411E+01
   974.0           1.1413E+01              1.1413E+01
   975.0           1.1415E+01              1.1415E+01
   976.0           1.1416E+01              1.1416E+01
   977.0           1.1418E+01              1.1418E+01
   978.0           1.1420E+01              1.1420E+01
   979.0           1.1421E+01              1.1421E+01
   980.0           1.1423E+01              1.1423E+01
   981.0           1.1424E+01              1.1424E+01
   982.0           1.1426E+01              1.1426E+01
   983.0           1.1428E+01              1.1428E+01
   984.0           1.1429E+01              1.1429E+01
   985.0           1.1431E+01              1.1431E+01
   986.0           1.1433E+01              1.1432E+01
   987.0           1.1434E+01              1.1434E+01
   988.0           1.1436E+01              1.1436E+01
   989.0           1.1437E+01              1.1437E+01
   990.0           1.1439E+01              1.1439E+01
   991.0           1.1441E+01              1.1441E+01
   992.0           1.1442E+01              1.1442E+01
   993.0           1.1444E+01              1.1444E+01
   994.0           1.1445E+01              1.1445E+01
   995.0           1.1447E+01              1.1447E+01
   996.0           1.1449E+01              1.1449E+01
   997.0           1.1450E+01              1.1450E+01
   998.0           1.1452E+01              1.1452E+01
   999.0           1.1453E+01              1.1453E+01
  1000.0           1.1455E+01              1.1455E+01
  1001.0           1.1457E+01              1.1457E+01
  1002.0           1.1458E+01              1.1458E+01
  1003.0           1.1460E+01              1.1460E+01
  1004.0           1.1462E+01              1.1461E+01
  1005.0           1.1463E+01              1.1463E+01
  1006.0           1.1465E+01              1.1465E+01
  1007.0           1.1466E+01              1.1466E+01
  1008.0           1.1468E+01              1.1468E+01
  1009.0           1.1470E+01              1.1470E+01
  1010.0           1.1471E+01              1.1471E+01
  1011.0           1.1473E+01              1.1473E+01
  1012.0           1.1474E+01              1.1474E+01
  1013.0           1.1476E+01              1.1476E+01
  1014.0           1.1478E+01              1.1478E+01
  1015.0           1.1479E+01              1.1479E+01
  1016.0           1.1481E+01              1.1481E+01
  1017.0           1.1482E+01              1.1482E+01
  1018.0           1.1484E+01              1.1484E+01
  1019.0           1.1486E+01              1.1486E+01
  1020.0           1.1487E+01              1.1487E+01
  1021.0           1.1489E+01              1.1489E+01
  1022.0           1.1490E+01              1.1490E+01
  1023.0           1.1492E+01              1.1492E+01
  1024.0           1.1494E+01              1.1494E+01
  1025.0           1.1495E+01              1.1495E+01
  1026.0           1.1497E+01              1.1497E+01
  1027.0           1.1498E+01              1.1498E+01
  1028.0           1.1500E+01              1.1500E+01
  1029.0           1.1502E+01              1.1501E+01
  1030.0           1.1503E+01              1.1503E+01
  1031.0           1.1505E+01              1.1505E+01
  1032.0           1.1506E+01              1.1506E+01
  1033.0           1.1508E+01              1.1508E+01
  1034.0           1.1509E+01              1.1509E+01
  1035.0           1.1511E+01              1.1511E+01
  1036.0           1.1513E+01              1.1513E+01
  1037.0           1.1514E+01              1.1514E+01
  1038.0           1.1516E+01              1.1516E+01
  1039.0           1.1517E+01              1.1517E+01
  1040.0           1.1519E+01              1.1519E+01
  1041.0           1.1521E+01              1.1521E+01
  1042.0           1.1522E+01              1.1522E+01
  1043.0           1.1524E+01              1.1524E+01
  1044.0           1.1525E+01              1.1525E+01
  1045.0           1.1527E+01              1.1527E+01
  1046.0           1.1529E+01              1.1529E+01
  1047.0           1.1530E+01              1.1530E+01
  1048.0           1.1532E+01              1.1532E+01
  1049.0           1.1533E+01              1.1533E+01
  1050.0           1.1535E+01              1.1535E+01
  1051.0           1.1536E+01              1.1536E+01
  1052.0           1.1538E+01              1.1538E+01
  1053.0           1.1540E+01              1.1540E+01
  1054.0           1.1541E+01              1.1541E+01
  1055.0           1.1543E+01              1.1543E+01
  1056.0           1.1544E+01              1.1544E+01
  1057.0           1.1546E+01              1.1546E+01
  1058.0           1.1548E+01              1.1548E+01
  1059.0           1.1549E+01              1.1549E+01
  1060.0           1.1551E+01              1.1551E+01
  1061.0           1.1552E+01              1.1552E+01
  1062.0           1.1554E+01              1.1554E+01
  1063.0           1.1555E+01              1.1555E+01
  1064.0           1.1557E+01              1.1557E+01
  1065.0           1.1559E+01              1.1559E+01
  1066.0           1.1560E+01              1.1560E+01
  1067.0           1.1562E+01              1.1562E+01
  1068.0           1.1563E+01              1.1563E+01
  1069.0           1.1565E+01              1.1565E+01
  1070.0           1.1566E+01              1.1566E+01
  1071.0           1.1568E+01              1.1568E+01
  1072.0           1.1570E+01              1.1570E+01
  1073.0           1.1571E+01              1.1571E+01
  1074.0           1.1573E+01              1.1573E+01
  1075.0           1.1574E+01              1.1574E+01
  1076.0           1.1576E+01              1.1576E+01
  1077.0           1.1577E+01              1.1577E+01
  1078.0           1.1579E+01              1.1579E+01
  1079.0           1.1581E+01              1.1581E+01
  1080.0           1.1582E+01              1.1582E+01
  1081.0           1.1584E+01              1.1584E+01
  1082.0           1.1585E+01              1.1585E+01
  1083.0           1.1587E+01              1.1587E+01
  1084.0           1.1588E+01              1.1588E+01
  1085.0           1.1590E+01              1.1590E+01
  1086.0           1.1592E+01              1.1592E+01
  1087.0           1.1593E+01              1.1593E+01
  1088.0           1.1595E+01              1.1595E+01
  1089.0           1.1596E+01              1.1596E+01
  1090.0           1.1598E+01              1.1598E+01
  1091.0           1.1599E+01              1.1599E+01
  1092.0           1.1601E+01              1.1601E+01
  1093.0           1.1602E+01              1.1602E+01
  1094.0           1.1604E+01              1.1604E+01
  1095.0           1.1606E+01              1.1606E+01
  1096.0           1.1607E+01              1.1607E+01
  1097.0           1.1609E+01              1.1609E+01
  1098.0           1.1610E+01              1.1610E+01
  1099.0           1.1612E+01              1.1612E+01
  1100.0           1.1613E+01              1.1613E+01
  1101.0           1.1615E+01              1.1615E+01
  1102.0           1.1617E+01              1.1617E+01
  1103.0           1.1618E+01              1.1618E+01
  1104.0           1.1620E+01              1.1620E+01
  1105.0           1.1621E+01              1.1621E+01
  1106.0           1.1623E+01              1.1623E+01
  1107.0           1.1624E+01              1.1624E+01
  1108.0           1.1626E+01              1.1626E+01
  1109.0           1.1627E+01              1.1627E+01
  1110.0           1.1629E+01              1.1629E+01
  1111.0           1.1630E+01              1.1630E+01
  1112.0           1.1632E+01              1.1632E+01
  1113.0           1.1634E+01              1.1634E+01
  1114.0           1.1635E+01              1.1635E+01
  1115.0           1.1637E+01              1.1637E+01
  1116.0           1.1638E+01              1.1638E+01
  1117.0           1.1640E+01              1.1640E+01
  1118.0           1.1641E+01              1.1641E+01
  1119.0           1.1643E+01              1.1643E+01
  1120.0           1.1644E+01              1.1644E+01
  1121.0           1.1646E+01              1.1646E+01
  1122.0           1.1648E+01              1.1647E+01
  1123.0           1.1649E+01              1.1649E+01
  1124.0           1.1651E+01              1.1651E+01
  1125.0           1.1652E+01              1.1652E+01
  1126.0           1.1654E+01              1.1654E+01
  1127.0           1.1655E+01              1.1655E+01
  1128.0           1.1657E+01              1.1657E+01
  1129.0           1.1658E+01              1.1658E+01
  1130.0           1.1660E+01              1.1660E+01
  1131.0           1.1661E+01              1.1661E+01
  1132.0           1.1663E+01              1.1663E+01
  1133.0           1.1664E+01              1.1664E+01
  1134.0           1.1666E+01              1.1666E+01
  1135.0           1.1668E+01              1.1668E+01
  1136.0           1.1669E+01              1.1669E+01
  1137.0           1.1671E+01              1.1671E+01
  1138.0           1.1672E+01              1.1672E+01
  1139.0           1.1674E+01              1.1674E+01
  1140.0           1.1675E+01              1.1675E+01
  1141.0           1.1677E+01              1.1677E+01
  1142.0           1.1678E+01              1.1678E+01
  1143.0           1.1680E+01              1.1680E+01
  1144.0           1.1681E+01              1.1681E+01
  1145.0           1.1683E+01              1.1683E+01
  1146.0           1.1684E+01              1.1684E+01
  1147.0           1.1686E+01              1.1686E+01
  1148.0           1.1688E+01              1.1687E+01
  1149.0           1.1689E+01              1.1689E+01
  1150.0           1.1691E+01              1.1691E+01
  1151.0           1.1692E+01              1.1692E+01
  1152.0           1.1694E+01              1.1694E+01
  1153.0           1.1695E+01              1.1695E+01
  1154.0           1.1697E+01              1.1697E+01
  1155.0           1.1698E+01              1.1698E+01
  1156.0           1.1700E+01              1.1700E+01
  1157.0           1.1701E+01              1.1701E+01
  1158.0           1.1703E+01              1.1703E+01
  1159.0           1.1704E+01              1.1704E+01
  1160.0           1.1706E+01              1.1706E+01
  1161.0           1.1707E+01              1.1707E+01
  1162.0           1.1709E+01              1.1709E+01
  1163.0           1.1710E+01              1.1710E+01
  1164.0           1.1712E+01              1.1712E+01
  1165.0           1.1713E+01              1.1713E+01
  1166.0           1.1715E+01              1.1715E+01
  1167.0           1.1716E+01              1.1716E+01
  1168.0           1.1718E+01              1.1718E+01
  1169.0           1.1720E+01              1.1719E+01
  1170.0           1.1721E+01              1.1721E+01
  1171.0           1.1723E+01              1.1723E+01
  1172.0           1.1724E+01              1.1724E+01
  1173.0           1.1726E+01              1.1726E+01
  1174.0           1.1727E+01              1.1727E+01
  1175.0           1.1729E+01              1.1729E+01
  1176.0           1.1730E+01              1.1730E+01
  1177.0           1.1732E+01              1.1732E+01
  1178.0           1.1733E+01              1.1733E+01
  1179.0           1.1735E+01              1.1735E+01
  1180.0           1.1736E+01              1.1736E+01
  1181.0           1.1738E+01              1.1738E+01
  1182.0           1.1739E+01              1.1739E+01
  1183.0           1.1741E+01              1.1741E+01
  1184.0           1.1742E+01              1.1742E+01
  1185.0           1.1744E+01              1.1744E+01
  1186.0           1.1745E+01              1.1745E+01
  1187.0           1.1747E+01              1.1747E+01
  1188.0           1.1748E+01              1.1748E+01
  1189.0           1.1750E+01              1.1750E+01
  1190.0           1.1751E+01              1.1751E+01
  1191.0           1.1753E+01              1.1753E+01
  1192.0           1.1754E+01              1.1754E+01
  1193.0           1.1756E+01              1.1756E+01
  1194.0           1.1757E+01              1.1757E+01
  1195.0           1.1759E+01              1.1759E+01
  1196.0           1.1760E+01              1.1760E+01
  1197.0           1.1762E+01              1.1762E+01
  1198.0           1.1763E+01              1.1763E+01
  1199.0           1.1765E+01              1.1765E+01
  1200.0           1.1766E+01              1.1766E+01
  1201.0           1.1768E+01              1.1768E+01
  1202.0           1.1769E+01              1.1769E+01
  1203.0           1.1771E+01              1.1771E+01
  1204.0           1.1772E+01              1.1772E+01
  1205.0           1.1774E+01              1.1774E+01
  1206.0           1.1775E+01              1.1775E+01
  1207.0           1.1777E+01              1.1777E+01
  1208.0           1.1778E+01              1.1778E+01
  1209.0           1.1780E+01              1.1780E+01
  1210.0           1.1781E+01              1.1781E+01
  1211.0           1.1783E+01              1.1783E+01
  1212.0           1.1784E+01              1.1784E+01
  1213.0           1.1786E+01              1.1786E+01
  1214.0           1.1787E+01              1.1787E+01
  1215.0           1.1789E+01              1.1789E+01
  1216.0           1.1790E+01              1.1790E+01
  1217.0           1.1792E+01              1.1792E+01
  1218.0           1.1793E+01              1.1793E+01
  1219.0           1.1795E+01              1.1795E+01
  1220.0           1.1796E+01              1.1796E+01
  1221.0           1.1798E+01              1.1798E+01
  1222.0           1.1799E+01              1.1799E+01
  1223.0           1.1801E+01              1.1801E+01
  1224.0           1.1802E+01              1.1802E+01
  1225.0           1.1804E+01              1.1804E+01
  1226.0           1.1805E+01              1.1805E+01
  1227.0           1.1807E+01              1.1807E+01
  1228.0           1.1808E+01              1.1808E+01
  1229.0           1.1810E+01              1.1810E+01
  1230.0           1.1811E+01              1.1811E+01
  1231.0           1.1813E+01              1.1813E+01
  1232.0           1.1814E+01              1.1814E+01
  1233.0           1.1816E+01              1.1816E+01
  1234.0           1.1817E+01              1.1817E+01
  1235.0           1.1819E+01              1.1819E+01
  1236.0           1.1820E+01              1.1820E+01
  1237.0           1.1822E+01              1.1822E+01
  1238.0           1.1823E+01              1.1823E+01
  1239.0           1.1825E+01              1.1824E+01
  1240.0           1.1826E+01              1.1826E+01
  1241.0           1.1827E+01              1.1827E+01
  1242.0           1.1829E+01              1.1829E+01
  1243.0           1.1830E+01              1.1830E+01
  1244.0           1.1832E+01              1.1832E+01
  1245.0           1.1833E+01              1.1833E+01
  1246.0           1.1835E+01              1.1835E+01
  1247.0           1.1836E+01              1.1836E+01
  1248.0           1.1838E+01              1.1838E+01
  1249.0           1.1839E+01              1.1839E+01
  1250.0           1.1841E+01              1.1841E+01
  1251.0           1.1842E+01              1.1842E+01
  1252.0           1.1844E+01              1.1844E+01
  1253.0           1.1845E+01              1.1845E+01
  1254.0           1.1847E+01              1.1847E+01
  1255.0           1.1848E+01              1.1848E+01
  1256.0           1.1850E+01              1.1850E+01
  1257.0           1.1851E+01              1.1851E+01
  1258.0           1.1853E+01              1.1852E+01
  1259.0           1.1854E+01              1.1854E+01
  1260.0           1.1855E+01              1.1855E+01
  1261.0           1.1857E+01              1.1857E+01
  1262.0           1.1858E+01              1.1858E+01
  1263.0           1.1860E+01              1.1860E+01
  1264.0           1.1861E+01              1.1861E+01
  1265.0           1.1863E+01              1.1863E+01
  1266.0           1.1864E+01              1.1864E+01
  1267.0           1.1866E+01              1.1866E+01
  1268.0           1.1867E+01              1.1867E+01
  1269.0           1.1869E+01              1.1869E+01
  1270.0           1.1870E+01              1.1870E+01
  1271.0           1.1872E+01              1.1872E+01
  1272.0           1.1873E+01              1.1873E+01
  1273.0           1.1874E+01              1.1874E+01
  1274.0           1.1876E+01              1.1876E+01
  1275.0           1.1877E+01              1.1877E+01
  1276.0           1.1879E+01              1.1879E+01
  1277.0           1.1880E+01              1.1880E+01
  1278.0           1.1882E+01              1.1882E+01
  1279.0           1.1883E+01              1.1883E+01
  1280.0           1.1885E+01              1.1885E+01
  1281.0           1.1886E+01              1.1886E+01
  1282.0           1.1888E+01              1.1888E+01
  1283.0           1.1889E+01              1.1889E+01
  1284.0           1.1891E+01              1.1891E+01
  1285.0           1.1892E+01              1.1892E+01
  1286.0           1.1893E+01              1.1893E+01
  1287.0           1.1895E+01              1.1895E+01
  1288.0           1.1896E+01              1.1896E+01
  1289.0           1.1898E+01              1.1898E+01
  1290.0           1.1899E+01              1.1899E+01
  1291.0           1.1901E+01              1.1901E+01
  1292.0           1.1902E+01              1.1902E+01
  1293.0           1.1904E+01              1.1904E+01
  1294.0           1.1905E+01              1.1905E+01
  1295.0           1.1906E+01              1.1906E+01
  1296.0           1.1908E+01              1.1908E+01
  1297.0           1.1909E+01              1.1909E+01
  1298.0           1.1911E+01              1.1911E+01
  1299.0           1.1912E+01              1.1912E+01
